Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
volkswagen,Nuevo Tera,El nuevo ícono para tu nueva era,liviano,SUV,,Nuevo Tera Outfit AT,1.0 TSI AT,No especificado,Automática 6 Vel.,109 HP,170 Nm,4x2,,,,,,21090000,1700000,,19390000
volkswagen,Nueva Amarok V6,La Potencia está de vuelta,liviano,Pick-Up,,Amarok 3.0 V6 AT Comfortline,Turbo 3.0 de 6 cilindros,No especificado,AT 8 Velocidades,258 HP,580 Nm,4MOTION,,,,,,44490000,4500000,,39990000
volkswagen,Nueva Amarok V6,La Potencia está de vuelta,liviano,Pick-Up,,Amarok 3.0 V6 AT Highline,Turbo 3.0 de 6 cilindros,No especificado,AT 8 Velocidades,258 HP,580 Nm,4MOTION,,,,,,47490000,2500000,,44990000
volkswagen,Nueva Amarok V6,La Potencia está de vuelta,liviano,Pick-Up,,Amarok 3.0 V6 AT Extreme,Turbo 3.0 de 6 cilindros,No especificado,AT 8 Velocidades,258 HP,580 Nm,4MOTION,,,,,,49990000,2500000,,47490000
volkswagen,Atlas,==================================================,liviano,SUV,,Atlas 2.0 TSI AT Comfortline 4Motion,2.0 TSI,"Mixto 10,2 Km/L",AT 8 velocidades,273 HP,370 Nm,4Motion,,,,,,51990000,5000000,,46990000
volkswagen,Atlas,==================================================,liviano,SUV,,Atlas 2.0 TSI AT Limited 4Motion,2.0 TSI,"Mixto 10,5 Km/L",AT 8 velocidades,273 HP,370 Nm,4Motion,,,,,,55390000,2250000,,53140000
volkswagen,Nuevo Caravelle,"Donde caben todos, caben todos tus planes.",liviano,Comercial,,Caravelle 2.0 TDI AT - Pasajeros,2.0 Turbo Diésel,N/A,AT 8 Vel.,150 HP,360 Nm,4x2,,,,,,35990000,1690000,,34300000
volkswagen,Nuevo Jetta,"Renovado por fuera, fiel a su esencia por dentro.",liviano,Sedán,,Nuevo Jetta 1.4 TSI AT Comfortline Sky,1.4 TSI,No especificado,Automática de 8 velocidades,150 HP,250 Nm,4x2,,,,,,25990000,3350000,,22640000
volkswagen,ID.4,"Ser 100% eléctrico, está en tu ID",liviano,Eléctrico,,ID.4 Pro 82kWh,Motor eléctrico,Autonomía combinada de 556 km,Automática 1 Vel.,286 HP,545 Nm,No especificada,,,,,,53950000,2960000,,50990000
volkswagen,Nuevo Tiguan,La magia de llevarte lejos,liviano,SUV,,Comfort AT,1.4 TSI,No especificado,DSG 7 Vel.,150 hp / 5.000 – 6.000 rpm,250 nm,No especificada,,,,,,36490000,2000000,,34490000
volkswagen,Nuevo Tiguan,La magia de llevarte lejos,liviano,SUV,,R-Line AT,1.4 TSI,No especificado,DSG 7 Vel.,150 hp / 5.000 – 6.000 rpm,250 nm,No especificada,,,,,,39490000,2000000,,37490000
volkswagen,Nuevo Nivus,El atrevido de la familia,liviano,SUV,,Nivus 1.0 TSI MT Comfortline,1.0 TSI,"Mixto 15,2 km/L",Manual 5 Vel.,101 HP,170 Nm,4x2,,,,,,18890000,3500000,,15390000
volkswagen,Nuevo Nivus,El atrevido de la familia,liviano,SUV,,Nivus 1.0 TSI AT Comfortline,1.0 TSI,Mixto 15 km/L,Automática 6 Vel.,116 HP,200 Nm,4x2,,,,,,20390000,2650000,,17740000
volkswagen,Nuevo Nivus,El atrevido de la familia,liviano,SUV,,Nivus 1.0 TSI AT Highline,1.0 TSI,N/A,Automática 6 Vel.,116 HP,200 Nm,4x2,,,,,,21790000,2800000,,18990000
volkswagen,Nuevo Nivus,El atrevido de la familia,liviano,SUV,,Nivus 1.0 TSI AT Outfit,1.0 TSI AT,N/A,AT 6 Velocidades,116 HP,200 Nm,4x2,,,,,,22590000,2600000,,19990000
volkswagen,Nuevo Transporter,"Aquí tienes el archivo Markdown del Nuevo Transporter estructurado para tu sistema de importación, utilizando únicamente la información proporcionada:",liviano,Comercial,,Transporter 2.0 TDI MT - Carga (puerta simple),2.0 Turbo Diésel,No especificado,MT 6 Vel.,150 HP,360 Nm,No especificada,,,,,,29990000,2690000,,27300000
volkswagen,Nuevo Transporter,"Aquí tienes el archivo Markdown del Nuevo Transporter estructurado para tu sistema de importación, utilizando únicamente la información proporcionada:",liviano,Comercial,,Transporter 2.0 TDI MT - Carga (puerta doble),2.0 Turbo Diésel,No especificado,MT 6 Vel.,150 HP,360 Nm,No especificada,,,,,,30990000,1690000,,29300000
volkswagen,Polo,Celebra 50 años de historia como sinónimo de innovación y accesibilidad.,liviano,Hatchback,,Polo 1.6 MT Comfortline,1.6 MSI,"Ciudad 11,5 km/l",Manual 5 vel.,110 HP,155 Nm,4x2,,,,,,16990000,2800000,,14190000
volkswagen,Polo,Celebra 50 años de historia como sinónimo de innovación y accesibilidad.,liviano,Hatchback,,Polo 1.0 AT Comfortline,1.0 TSI,"Ciudad 11,2 km/l",Automática 6 vel.,101 HP,170 Nm,4x2,,,,,,17990000,2200000,,15790000
volkswagen,Polo,Celebra 50 años de historia como sinónimo de innovación y accesibilidad.,liviano,Hatchback,,Polo 1.0 AT Highline,1.0 TSI,"Ciudad 11,2 km/l",Automática 6 vel.,101 HP,170 Nm,4x2,,,,,,18990000,1550000,,17440000
volkswagen,Polo Track,El comienzo perfecto,liviano,Hatchback,,Polo 1.6 MT Track,1.6 MSI,Ciudad 18.2 km/l,MT 5,110 hp,155 Nm,4x2,,,,,,14490000,2200000,,12290000
volkswagen,Saveiro Cabina Doble,Siempre listo para tus proyectos,liviano,Pick-Up,,Saveiro 1.6 MT Cabina Doble,1.6L,"Mixto 13,0 km/lt",MT 5 Velocidades,110 Hp,155 Nm,4x2,,,,,,15340000,1790000,,13550000
volkswagen,Saveiro Cabina Simple,Siempre listo para tus proyectos,liviano,Pick-Up,,Cabina Simple Lite 1.6 MT,1.6L,"Mixto 13,0 km/lt",MT 5 velocidades,110 HP,155 Nm,4x2,,,,,,12640000,1790000,,10850000
volkswagen,T-Cross,Bájate del pasado. Súbete al nuevo T-Cross.,liviano,SUV,,T-Cross 1.0 TSI AT Comfortline,1.0 TSI,No especificado,Automática 6 Vel.,116 HP,200 Nm,4x2,,,,,,21490000,2500000,,18990000
volkswagen,T-Cross,Bájate del pasado. Súbete al nuevo T-Cross.,liviano,SUV,,T-Cross 1.0 TSI AT Highline,1.0 TSI,No especificado,Automática 6 Vel.,116 HP,200 Nm,4x2,,,,,,22490000,2000000,,20490000
volkswagen,T-Cross,Bájate del pasado. Súbete al nuevo T-Cross.,liviano,SUV,,T-Cross 1.0 TSI AT Highline Sport S,1.0 TSI,No especificado,Automática 6 Vel.,116 HP,200 Nm,4x2,,,,,,23990000,1300000,,22690000
volkswagen,Taos,Un SUVW con superpoderes,liviano,SUV,,Comfortline AT,1.4L TSI,"Mixto 13,7 Km/L",AT 6 Velocidades,150 HP,250 Nm,4x2,,,,,,25790000,2050000,,23740000
volkswagen,Taos,Un SUVW con superpoderes,liviano,SUV,,Highline AT,1.4L TSI,"Mixto 13,7 Km/L",AT 6 Velocidades,150 HP,250 Nm,4x2,,,,,,29190000,1750000,,27440000
volkswagen,Virtus,Su virtud está en los detalles,liviano,Sedán,,Virtus 1.0 TSI AT Comfortline Plus,1.0 TSI,"Mixto 14,8 Km/L",AT 6 Velocidades,109 hp,170 Nm,4x2,,,,,,19890000,2650000,,17240000
audi,A3,Dise\u00f1o y tecnolog\u00eda en su m\u00e1xima expresi\u00f3n.,liviano,Hatchback,true,A3 Sportback 35 TFSI MHEV,1.5 TFSI,H\u00edbrido,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,6.0 l/100km,,,,,37990000,4090000,2450000,31450000
audi,A3,Dise\u00f1o y tecnolog\u00eda en su m\u00e1xima expresi\u00f3n.,liviano,Hatchback,true,A3 Sportback 35 TFSI S line MHEV,1.5 TFSI,H\u00edbrido,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,6.0 l/100km,,,,,42490000,2590000,2450000,37450000
audi,A3,Dise\u00f1o y tecnolog\u00eda en su m\u00e1xima expresi\u00f3n.,liviano,Hatchback,true,A3 Sportback 35 TFSI S line MHEV Special Edition,1.5 TFSI,H\u00edbrido,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,6.0 l/100km,,,,,44490000,1990000,2450000,40050000
audi,A3,Dise\u00f1o y tecnolog\u00eda en su m\u00e1xima expresi\u00f3n.,liviano,Hatchback,true,A3 Sedan 35 TFSI S line MHEV,1.5 TFSI,H\u00edbrido,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,6.0 l/100km,,,,,41990000,2290000,650000,39050000
audi,A6 e-tron,La era el\u00e9ctrica de Audi en su m\u00e1xima expresi\u00f3n.,liviano,Sed\u00e1n,true,A6 Sportback e-tron S line,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,285 hp,565 Nm,RWD,16.0 kWh/100km,750 km,,,,89900000,0,1150000,88750000
audi,A6 e-tron,La era el\u00e9ctrica de Audi en su m\u00e1xima expresi\u00f3n.,liviano,Sed\u00e1n,true,A6 Sportback e-tron performance S line,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,367 hp,610 Nm,RWD,16.0 kWh/100km,716 km,,,,104900000,0,1150000,103750000
audi,A5,Elegancia deportiva redefinida.,liviano,Sed\u00e1n,true,New A5 TFSI,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,204 hp,370 Nm,FWD,7.5 l/100km,,,,,53900000,1000000,2450000,50450000
audi,A5,Elegancia deportiva redefinida.,liviano,Sed\u00e1n,true,New A5 TFSI quattro S line,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,204 hp,370 Nm,AWD,7.5 l/100km,,,,,59900000,1000000,2450000,56450000
audi,A5,Elegancia deportiva redefinida.,liviano,Sed\u00e1n,true,New S5 TFSI quattro,3.0 TFSI,Gasolina,Autom\u00e1tica 8 Vel,367 hp,500 Nm,AWD,9.5 l/100km,,,,,78900000,1000000,2450000,75450000
audi,Q3,El SUV compacto que no hace concesiones.,liviano,SUV,true,Q3 35 TFSI,1.4 TFSI,Gasolina,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,8.1 l/100km,,,,,42990000,3390000,2150000,37450000
audi,Q3,El SUV compacto que no hace concesiones.,liviano,SUV,true,Q3 35 TFSI (MY26),1.5 TFSI,Gasolina,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,8.1 l/100km,,,,,43490000,2390000,2150000,38950000
audi,Q3,El SUV compacto que no hace concesiones.,liviano,SUV,true,New Q3 TFSI,1.5 TFSI,Gasolina,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,8.1 l/100km,,,,,44990000,1000000,1950000,42040000
audi,Q3,El SUV compacto que no hace concesiones.,liviano,SUV,true,Q3 Sportback 35 TFSI (MY26),1.5 TFSI,Gasolina,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,7.1 l/100km,,,,,45490000,3690000,2850000,38950000
audi,Q3,El SUV compacto que no hace concesiones.,liviano,SUV,true,Q3 Sportback 35 TFSI S line,1.5 TFSI,Gasolina,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,7.1 l/100km,,,,,50990000,3190000,2850000,44950000
audi,Q3,El SUV compacto que no hace concesiones.,liviano,SUV,true,New Q3 Sportback TFSI,1.5 TFSI,Gasolina,Autom\u00e1tica 7 Vel,150 hp,250 Nm,FWD,7.1 l/100km,,,,,47490000,1000000,1950000,44540000
audi,Q4 e-tron,El SUV el\u00e9ctrico pensado para el d\u00eda a d\u00eda.,liviano,SUV,true,Q4 Sportback e-tron,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,285 hp,545 Nm,RWD,18.0 kWh/100km,520 km,,,,66990000,2890000,1150000,62950000
audi,Q4 e-tron,El SUV el\u00e9ctrico pensado para el d\u00eda a d\u00eda.,liviano,SUV,true,Q4 Sportback e-tron S line,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,285 hp,545 Nm,RWD,18.0 kWh/100km,520 km,,,,71990000,3890000,1150000,66950000
audi,Q5,El referente de los SUV premium.,liviano,SUV,true,Q5 45 TFSI S line,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,249 hp,370 Nm,AWD,8.5 l/100km,,,,,74390000,14290000,1150000,58950000
audi,Q5,El referente de los SUV premium.,liviano,SUV,true,New Q5 TFSI quattro,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,204 hp,370 Nm,AWD,8.5 l/100km,,,,,56700000,2000000,1450000,53250000
audi,Q5,El referente de los SUV premium.,liviano,SUV,true,New Q5 TFSI quattro S line,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,204 hp,370 Nm,AWD,8.5 l/100km,,,,,63700000,2000000,1450000,60250000
audi,Q5,El referente de los SUV premium.,liviano,SUV,true,New SQ5 TFSI quattro,3.0 TFSI,Gasolina,Autom\u00e1tica 8 Vel,367 hp,500 Nm,AWD,10.0 l/100km,,,,,83700000,2000000,1450000,80250000
audi,Q5,El referente de los SUV premium.,liviano,SUV,true,New Q5 Sportback TFSI quattro,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,204 hp,370 Nm,AWD,8.2 l/100km,,,,,59200000,2000000,1450000,55750000
audi,Q5,El referente de los SUV premium.,liviano,SUV,true,New Q5 Sportback TFSI quattro S line,2.0 TFSI,Gasolina,Autom\u00e1tica 7 Vel,204 hp,370 Nm,AWD,8.2 l/100km,,,,,66200000,2000000,1450000,62750000
audi,Q6 e-tron,El SUV el\u00e9ctrico que manda en su clase.,liviano,SUV,true,Q6 e-tron 45,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,252 hp,485 Nm,RWD,18.0 kWh/100km,625 km,,,,75990000,1090000,1150000,73750000
audi,Q6 e-tron,El SUV el\u00e9ctrico que manda en su clase.,liviano,SUV,true,Q6 e-tron 50 S line,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,306 hp,535 Nm,RWD,18.0 kWh/100km,625 km,,,,85990000,1090000,1150000,83750000
audi,Q6 e-tron,El SUV el\u00e9ctrico que manda en su clase.,liviano,SUV,true,Q6 e-tron 55 quattro S line,Motor El\u00e9ctrico S\u00edncrono Dual,El\u00e9ctrico,Autom\u00e1tica 1 Vel,388 hp,650 Nm,AWD,19.0 kWh/100km,598 km,,,,92990000,1090000,1150000,90750000
audi,Q6 e-tron,El SUV el\u00e9ctrico que manda en su clase.,liviano,SUV,true,Q6 Sportback e-tron 50 S line,Motor El\u00e9ctrico S\u00edncrono,El\u00e9ctrico,Autom\u00e1tica 1 Vel,306 hp,535 Nm,RWD,17.5 kWh/100km,656 km,,,,88490000,1090000,1150000,86250000
audi,Q6 e-tron,El SUV el\u00e9ctrico que manda en su clase.,liviano,SUV,true,Q6 Sportback e-tron 55 S line quattro,Motor El\u00e9ctrico S\u00edncrono Dual,El\u00e9ctrico,Autom\u00e1tica 1 Vel,388 hp,650 Nm,AWD,18.5 kWh/100km,620 km,,,,95490000,1090000,1150000,93250000
audi,Q7,El gran SUV premium de 7 asientos.,liviano,SUV,true,Q7 55 TFSI (7 Pasajeros),3.0 TFSI,Gasolina,Autom\u00e1tica 8 Vel,340 hp,500 Nm,AWD,9.8 l/100km,,,,,85600000,6700000,2950000,75950000
audi,Q7,El gran SUV premium de 7 asientos.,liviano,SUV,true,Q7 55 TFSI S line (7 Pasajeros),3.0 TFSI,Gasolina,Autom\u00e1tica 8 Vel,340 hp,500 Nm,AWD,9.8 l/100km,,,,,104600000,7700000,2950000,93950000
