Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,NO,Hilux 4X4 2.8 MT SR Euro VI,2.8L Diesel,Diésel,Mecánica,201 HP,420 Nm,4x4,"Mixto 10,6 km/L",,,,7,45290000,0,500000,44790000
Toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,NO,Hilux 4X4 2.8 AT SRV Euro VI,2.8L Diesel,Diésel,Automática,201 HP,500 Nm,4x4,"Mixto 10,6 km/L",,,,7,48590000,1000000,800000,46790000
Toyota,Hilux,"El modelo que buscabas, ahora más cerca que nunca",liviano,Pick-Up,NO,Hilux 4X4 2.8 AT SRV Euro VI,2.8L Diesel,Diésel,Automática,201 HP,500 Nm,4x4,"Mixto 10,6 km/L",,,,7,48590000,0,800000,47790000
Toyota,Fortuner GR-S,La tradición de innovar,liviano,"SUV, Gazoo Racing",SÍ,Fortuner GR-S 4x4 2.8 AT,2.8L Turbo Diésel,Diésel,Automática,221 HP,550 Nm,4x4,"Mixto 11,8 km/L",,,,7,52890000,0,600000,52290000
Toyota,Fortuner GR-S,La tradición de innovar,liviano,"SUV, Gazoo Racing",SÍ,Fortuner GR-S 4x4 2.8 AT,2.8L Turbo Diésel,Diésel,Automática,221 HP,550 Nm,4x4,"Mixto 11,8 km/L",,,,7,53090000,0,600000,52490000
Toyota,Yaris GR,Nuevo GR Yaris,liviano,"Hatchback, Gazoo Racing",SÍ,GR Yaris 1.6 MT,1.6L Turbo,Gasolina,Mecánica,280 HP,390 Nm,AWD,,,,,8,54990000,0,0,54990000
Toyota,Yaris GR,Nuevo GR Yaris,liviano,"Hatchback, Gazoo Racing",SÍ,GR Yaris 1.6 AT,1.6L Turbo,Gasolina,Automática,280 HP,390 Nm,AWD,,,,,8,56990000,0,0,56990000
Toyota,Hilux GR-S,HILUX GR-S,liviano,"Pick-Up, Gazoo Racing",NO,Hilux GR-S 4x4 2.8 AT,2.8L Turbo Diésel,Diésel,Automática,221 HP,550 Nm,4x4,"Mixto 11,8 km/L",,,,7,53190000,0,400000,52790000
Toyota,Hilux GR-S,HILUX GR-S,liviano,"Pick-Up, Gazoo Racing",NO,Hilux GR-S 4x4 2.8 AT,2.8L Turbo Diésel,Diésel,Automática,221 HP,550 Nm,4x4,"Mixto 11,8 km/L",,,,7,52990000,0,400000,52590000
Audi,A3 Sportback,Emociones a flor de piel.,liviano,"Hatchback, Híbrido",SÍ,A3 Sportback PI 35 TFSI MHEV,1.5 TFSI,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,6.0 l/100km,,,,,37990000,4090000,2450000,31450000
