Marca,Modelo,Version,Precio Lista,Bono Marca,Bono Financiamiento,Precio Financiamiento,Tipo,Categoria,Incluye IVA,Motor CC,Combustible,Transmision,Airbags,Traccion,Rendimiento Mixto,Autonomia KM,Potencia Hp,Torque Nm
MG,MG 3 Hybrid+,1.5L HEV COM,$16.990.000,"$800,000",$1.200.000,$14.990.000,liviano,"hatchback, híbrido",SÍ,1.5L Híbrido,Híbrido,Automática,6,4x2,"43,5 km/l",-,191 HP,425 Nm
MG,MG 4 EV,51KWh STD,$26.990.000,$4.000.000,$1.000.000,$21.990.000,liviano,"hatchback, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,6,4x2,-,350 km,167 HP,-
MG,MG 4 EV,64KWh DLX,$29.990.000,$1.000.000,$1.000.000,$27.990.000,liviano,"hatchback, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,6,4x2,-,435 km,201 HP,-
MG,MG 4 EV,77KWh DLX,$31.990.000,$1.000.000,$1.000.000,$29.990.000,liviano,"hatchback, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,6,4x2,-,520 km,241 HP,350 Nm
MG,MG 4 XPOWER,64KWh DLX 4WD XPOWER,$34.990.000,$1.000.000,$1.000.000,$32.990.000,liviano,"hatchback, eléctrico",SÍ,Eléctrico,Eléctrico,Automática,6,AWD,-,385 km,402 HP,600 Nm
MG,MG 5,1.5L MT STD,$12.290.000,$2.000.000,"$500,000",$9.790.000,liviano,sedán,SÍ,1.5L,Gasolina,Mecánica,4,4x2,"18,1 km/l",-,114 HP,142 Nm
MG,MG 5,1.5L MT COM,$12.990.000,$2.000.000,"$500,000",$10.490.000,liviano,sedán,SÍ,1.5L,Gasolina,Mecánica,4,4x2,"18,1 km/l",-,114 HP,142 Nm
MG,MG 5,1.5L CVT COM,$13.990.000,$2.000.000,"$500,000",$11.490.000,liviano,sedán,SÍ,1.5L,Gasolina,Automática,4,4x2,"18,1 km/l",-,114 HP,142 Nm
MG,MG 5,1.5L CVT DLX,$14.990.000,$2.000.000,"$500,000",$12.490.000,liviano,sedán,SÍ,1.5L,Gasolina,Automática,6,4x2,"18,1 km/l",-,114 HP,142 Nm
MG,MG GT,1.5L MT COM,$14.790.000,$3.800.000,"$500,000",$10.490.000,liviano,sedán,SÍ,1.5L,Gasolina,Mecánica,4,4x2,"20,4 km/l",-,112 HP,150 Nm
MG,MG GT,1.5L CVT COM,$16.490.000,$3.800.000,"$500,000",$12.190.000,liviano,sedán,SÍ,1.5L,Gasolina,Automática,4,4x2,"20,4 km/l",-,112 HP,150 Nm
MG,MG GT,1.5T DCT DLX,$19.290.000,$4.100.000,"$500,000",$14.690.000,liviano,sedán,SÍ,1.5L Turbo,Gasolina,Automática,6,4x2,"20,4 km/l",-,160 HP,150 Nm
MG,MG HS,1.5T DCT DLX,$19.990.000,$4.500.000,"$700,000",$14.790.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,4,4x2,"14,8 km/l",-,168 HP,250 Nm
MG,MG HS,1.5T DCT TROPHY,$21.490.000,$4.500.000,"$700,000",$16.290.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,6,4x2,"14,8 km/l",-,168 HP,250 Nm
MG,MG ONE,1.5T CVT COM Euro 6B,$17.990.000,$2.500.000,"$700,000",$14.790.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,4,4x2,"16,5 km/l",-,168 HP,275 Nm
MG,MG ONE,1.5T CVT DLX Euro 6B,$19.790.000,$2.500.000,"$700,000",$16.590.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,6,4x2,"16,5 km/l",-,168 HP,275 Nm
MG,MG ONE,1.5T CVT COM Euro 6C,$17.990.000,$1.000.000,$2.000.000,$14.990.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,4,4x2,"16,5 km/l",-,168 HP,275 Nm
MG,MG ONE,1.5T CVT DLX Euro 6C,$19.790.000,$1.000.000,$2.800.000,$15.990.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,6,4x2,"16,5 km/l",-,168 HP,275 Nm
MG,MG RX5,1.5T DCT COM,$18.490.000,$1.000.000,"$700,000",$16.790.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,2,4x2,"15,9 km/l",-,168 HP,-
MG,MG RX5,1.5T DCT DLX,$19.990.000,$1.000.000,"$700,000",$18.290.000,liviano,suv,SÍ,1.5L Turbo,Gasolina,Automática,6,4x2,"15,9 km/l",-,168 HP,-
MG,MG ZS,1.5L MT STD,$15.890.000,$1.000.000,$3.000.000,$11.890.000,liviano,suv,SÍ,1.5L,Gasolina,Mecánica,2,4x2,"17,6 km/l",-,114 HP,-
MG,MG ZS,1.5L MT COM,$16.890.000,$1.000.000,$3.000.000,$12.890.000,liviano,suv,SÍ,1.5L,Gasolina,Mecánica,6,4x2,"17,6 km/l",-,114 HP,-
